,bws_clip,bws_gpt4,bws_gpt4_color,bws_gpt4_color2,bws_gpt4_only_prompt,sim_clip,sim_gpt4,sim_gpt4_color,sim_gpt4_color2,sim_gpt4_only_prompt
74,96.8654412796408,96.98400448996772,79.21951219512195,96.98400448996772,99.8968710537393,0.656095,0.7662468,0.85013205,0.8130743,0.70644057
75,92.52613293778413,92.52657049220497,94.40396837699582,92.52657049220497,99.90461313625883,0.87243676,0.86107093,0.9119725,0.90909195,0.68718255
76,88.68900580667929,88.70825446729332,95.9787386740827,88.70825446729332,99.94813555334552,0.7843281,0.8558178,0.86161107,0.9009268,0.7108126
77,90.42046623625227,90.43734731383834,90.165002478578,90.43734731383834,99.92228334092451,0.6757785,0.65681183,0.796266,0.8235625,0.6663502
78,88.49732649798798,88.46921338404718,92.97034516285854,88.46921338404718,99.86825423074804,0.793857,0.86058855,0.93112123,0.89411736,0.7908608
79,89.76380694188481,89.7563794872271,94.16076787391474,89.7563794872271,99.92502912954873,0.5517511,0.6728979,0.76546264,0.7685401,0.6419579
80,85.43969871049481,85.48265329144901,86.23001205569466,85.48265329144901,99.91669414602822,0.79552096,0.7498647,0.91268706,0.9020872,0.66309166
81,89.90888689089789,89.90853291611506,88.1934470678246,89.90853291611506,99.9185857999476,0.7962874,0.8142678,0.83001846,0.8255831,0.6880542
82,96.65253917738798,96.61965882867528,78.1125875640933,96.61965882867528,99.91282182772507,0.7375964,0.65597546,0.82177234,0.75941586,0.6277317
83,89.35248290169524,89.39325501357072,83.4162727046529,89.39325501357072,99.92924839409844,0.7761587,0.8209675,0.88008034,0.90898186,0.7301991
84,81.33372331090962,81.33862948041778,86.99484092863284,81.33862948041778,99.9549009802904,0.41852775,0.32094592,0.5067118,0.36924055,0.32288837
85,96.95862379131998,96.96884518674489,85.64213318821848,96.96884518674489,99.95374818570231,0.7935339,0.82587636,0.89497805,0.8810215,0.6925966
86,94.26882779618518,94.30383353549826,85.64559725543197,94.30383353549826,99.8339262600031,0.77903306,0.76401436,0.9117744,0.8584486,0.75664556
87,92.72958671042937,92.73896443164311,73.04341667256888,92.73896443164311,99.84593743720276,0.7340114,0.71499074,0.71980333,0.6822103,0.6005267
88,94.83531051361365,94.78024405996125,93.14913448735021,94.78024405996125,99.80896699411944,0.7535762,0.84165776,0.8847672,0.85015094,0.80375063
89,95.25255725371525,95.2576553743295,84.79598516255727,95.2576553743295,99.91879422164443,0.87719077,0.84763443,0.9371331,0.87334484,0.7726589
90,86.13718697940081,86.24560382896581,86.93285263632266,86.24560382896581,99.70912552555728,0.76016927,0.8828291,0.90814126,0.9239101,0.6529629
91,88.6761159666983,88.53317620871387,66.74162796382302,88.53317620871387,99.64646960620642,0.85715884,0.8695171,0.8775699,0.8793852,0.8086659
92,95.66804699586923,95.63128360403785,80.16915722261224,95.63128360403785,99.85243583001015,0.7354357,0.70352197,0.76352394,0.8770678,0.5802174
93,94.47323577758361,94.47373795199883,92.18064399990999,94.47373795199883,99.956980391763,0.7399374,0.7966091,0.87106955,0.84330297,0.6457946
94,87.57863682874645,87.54993289125726,87.75207864394322,87.54993289125726,99.89289178881344,0.69862247,0.6790196,0.77647877,0.79548496,0.58626896
95,91.38854312879049,91.41078948065362,83.04696983845363,91.41078948065362,99.89777271643845,0.6933373,0.74218535,0.8394667,0.8558432,0.09972656
96,95.70806551938628,95.69404817876782,85.35469107551488,95.69404817876782,99.90304672738901,0.81752557,0.7375898,0.9048822,0.85284936,0.6441945
97,93.14866711253534,93.15277019846626,91.97861779305079,93.15277019846626,99.89496100016822,0.7322346,0.68945646,0.7797098,0.79405826,0.683101
98,86.62241543018295,86.63782718988705,92.87123287671233,86.63782718988705,99.97555376046937,0.69249153,0.5724293,0.7324973,0.58839434,0.52882266
99,90.7684141103801,90.81988836520983,84.53659659352462,90.81988836520983,99.90992005404796,0.80267805,0.8378421,0.91418356,0.91383886,0.6498655
100,98.87993086273752,98.89983056822189,50.581959262851605,98.89983056822189,99.85331074242958,0.7119622,0.6827291,0.864977,0.9146122,0.72107637
101,96.78195239280086,96.76536451853694,-20.97300504301394,96.76536451853694,98.9134942357137,0.7145247,0.7632178,0.9118202,0.84371847,0.51794714
102,94.46187079498661,94.45467023694336,92.36653137683422,94.45467023694336,99.88794131545194,0.743661,0.80682766,0.87185544,0.89856935,0.6495398
